date,Close,return_pct
2012-01-02,5.0,3.3057851239669533
2012-01-03,5.29,5.800000000000005
2012-01-04,5.57,5.293005671077511
2012-01-05,6.42,15.260323159784562
2012-01-06,6.4,-0.31152647975076775
2012-01-07,6.8,6.25
2012-01-08,6.9,1.4705882352941346
2012-01-09,6.48,-6.086956521739129
2012-01-10,7.1,9.567901234567898
2012-01-11,7.0,-1.4084507042253502
2012-01-12,6.51,-7.000000000000006
2012-01-13,6.9,5.990783410138256
2012-01-14,6.4,-7.246376811594201
2012-01-15,7.15,11.71875
2012-01-16,7.1,-0.6993006993007089
2012-01-17,6.9,-2.8169014084506894
2012-01-18,7.1,2.898550724637672
2012-01-19,6.01,-15.35211267605634
2012-01-20,6.95,15.640599001663901
2012-01-21,6.95,0.0
2012-01-22,6.83,-1.726618705035976
2012-01-23,6.52,-4.538799414348471
2012-01-24,6.55,0.4601226993865115
2012-01-25,6.0,-8.3969465648855
2012-01-26,6.27,4.499999999999993
2012-01-27,5.88,-6.2200956937799035
2012-01-28,4.91,-16.496598639455772
2012-01-29,5.9,20.16293279022403
2012-01-30,5.58,-5.423728813559325
2012-01-31,5.55,-0.5376344086021501
2012-02-01,5.99,7.927927927927936
2012-02-02,6.26,4.5075125208680955
2012-02-03,6.29,0.4792332268370725
2012-02-04,6.5,3.338632750397452
2012-02-05,5.7,-12.307692307692308
2012-02-06,5.9,3.5087719298245723
2012-02-07,5.51,-6.610169491525431
2012-02-08,5.66,2.722323049001818
2012-02-09,5.87,3.7102473498233257
2012-02-10,5.88,0.17035775127767216
2012-02-11,5.5,-6.4625850340136015
2012-02-12,5.55,0.9090909090909038
2012-02-13,5.79,4.324324324324325
2012-02-14,4.56,-21.243523316062184
2012-02-15,4.69,2.8508771929824706
2012-02-16,4.98,6.183368869936023
2012-02-17,4.69,-5.823293172690757
2012-02-18,4.38,-6.609808102345427
2012-02-19,4.38,0.0
2012-02-20,4.4,0.4566210045662267
2012-02-21,4.53,2.954545454545454
2012-02-22,4.57,0.8830022075055233
2012-02-23,5.0,9.409190371991238
2012-02-24,5.12,2.400000000000002
2012-02-25,5.0,-2.34375
2012-02-26,4.96,-0.8000000000000007
2012-02-27,5.1,2.8225806451612767
2012-02-28,4.71,-7.647058823529407
2012-02-29,4.99,5.944798301486198
2012-03-01,5.03,0.8016032064128265
2012-03-02,4.79,-4.771371769383704
2012-03-03,4.65,-2.9227557411273475
2012-03-04,4.81,3.4408602150537426
2012-03-05,5.0,3.950103950103956
2012-03-06,4.99,-0.20000000000000018
2012-03-07,5.01,0.4008016032064132
2012-03-08,5.0,-0.19960079840318778
2012-03-09,5.07,1.4000000000000012
2012-03-10,4.94,-2.564102564102566
2012-03-11,5.0,1.2145748987854255
2012-03-12,4.98,-0.39999999999998925
2012-03-13,5.28,6.024096385542155
2012-03-14,5.27,-0.18939393939395588
2012-03-15,5.37,1.8975332068311257
2012-03-16,5.39,0.3724394785847185
2012-03-17,5.42,0.5565862708719838
